URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2025/2025_01_01_00_50_09_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.119-129.201.amzn2023.x86_64	Amazon Linux 2023.6.20241212	11.4.1	1	0	0	0	2025-01-01 00:50:09
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Instruction count	Memory usage
Laravel 11.1.2 demo app	50	50	100	PHP - previous master	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.43538	0.43775	0.00053	0.43617	-0.81	0.43605	-0.81	0	41.70
Laravel 11.1.2 demo app	50	50	100	PHP - master	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.43539	0.44279	0.00101	0.43637	-0.77	0.43620	-0.78	0	41.70
Laravel 11.1.2 demo app	50	50	100	PHP - master (JIT)	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.42525	0.42744	0.00045	0.42608	-3.11	0.42604	-3.09	0	50.75
Symfony 2.6.0 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.71258	0.71601	0.00079	0.71404	0.00	0.71384	0.00	0	37.33
Symfony 2.6.0 demo app	50	50	100	PHP - previous master	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.70780	0.71161	0.00084	0.70926	-0.67	0.70908	-0.67	0	37.39
Symfony 2.6.0 demo app	50	50	100	PHP - master	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.70785	0.71246	0.00075	0.70976	-0.60	0.70970	-0.58	0	37.39
Symfony 2.6.0 demo app	50	50	100	PHP - master (JIT)	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.68141	0.68396	0.00065	0.68275	-4.38	0.68267	-4.37	0	44.48
Wordpress 6.2 main page	10	50	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58072	0.58332	0.00052	0.58189	0.00	0.58184	0.00	0	42.95
Wordpress 6.2 main page	10	50	20	PHP - previous master	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.57741	0.58123	0.00068	0.57843	-0.59	0.57834	-0.60	0	42.80
Wordpress 6.2 main page	10	50	20	PHP - master	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.57289	0.57979	0.00165	0.57779	-0.70	0.57838	-0.60	0	42.80
Wordpress 6.2 main page	10	50	20	PHP - master (JIT)	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.51959	0.52150	0.00048	0.52058	-10.54	0.52058	-10.53	0	61.91
bench.php	10	50	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.21487	0.21951	0.00110	0.21635	0.00	0.21607	0.00	0	26.12
bench.php	10	50	0	PHP - previous master	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.21447	0.21761	0.00070	0.21595	-0.18	0.21596	-0.05	0	26.06
bench.php	10	50	0	PHP - master	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.21449	0.21903	0.00088	0.21608	-0.12	0.21603	-0.02	0	26.06
bench.php	10	50	0	PHP - master (JIT)	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.07331	0.07765	0.00089	0.07514	-65.27	0.07497	-65.30	0	27.23
micro_bench.php	10	50	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	1.34132	1.36660	0.00570	1.35485	0.00	1.35627	0.00	0	20.38
micro_bench.php	10	50	0	PHP - previous master	60252b7845	https://github.com/php/php-src/commit/60252b7845	1.30632	1.33199	0.00616	1.31863	-2.67	1.31839	-2.79	0	20.32
micro_bench.php	10	50	0	PHP - master	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	1.26012	1.28259	0.00441	1.26933	-6.31	1.26911	-6.43	0	20.32
micro_bench.php	10	50	0	PHP - master (JIT)	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.54027	0.56226	0.00554	0.55135	-59.31	0.55248	-59.26	0	21.66

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2025/2025_01_05_00_49_37_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.119-129.201.amzn2023.x86_64	Amazon Linux 2023.6.20241212	11.4.1	1	0	0	0	2025-01-05 00:49:37
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Instruction count	Memory usage
Laravel 11.1.2 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.43901	0.45363	0.00198	0.44014	0.00	0.43982	0.00	0	41.83
Laravel 11.1.2 demo app	50	50	100	PHP - previous master	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.43554	0.44310	0.00103	0.43647	-0.83	0.43633	-0.79	0	41.71
Laravel 11.1.2 demo app	50	50	100	PHP - master	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.43670	0.44403	0.00105	0.43756	-0.59	0.43736	-0.56	0	41.71
Laravel 11.1.2 demo app	50	50	100	PHP - master (JIT)	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.42598	0.42729	0.00035	0.42666	-3.06	0.42663	-3.00	0	50.76
Symfony 2.6.0 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.71314	0.71623	0.00075	0.71441	0.00	0.71438	0.00	0	37.35
Symfony 2.6.0 demo app	50	50	100	PHP - previous master	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.70955	0.71294	0.00074	0.71110	-0.46	0.71109	-0.46	0	37.41
Symfony 2.6.0 demo app	50	50	100	PHP - master	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.70946	0.72567	0.00220	0.71120	-0.45	0.71089	-0.49	0	37.41
Symfony 2.6.0 demo app	50	50	100	PHP - master (JIT)	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.68307	0.68539	0.00054	0.68397	-4.26	0.68400	-4.25	0	44.49
Wordpress 6.2 main page	10	50	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58092	0.59098	0.00138	0.58247	0.00	0.58223	0.00	0	42.96
Wordpress 6.2 main page	10	50	20	PHP - previous master	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.57845	0.58060	0.00053	0.57938	-0.53	0.57933	-0.50	0	42.81
Wordpress 6.2 main page	10	50	20	PHP - master	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.57778	0.58385	0.00119	0.58153	-0.16	0.58176	-0.08	0	42.81
Wordpress 6.2 main page	10	50	20	PHP - master (JIT)	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.52006	0.52232	0.00048	0.52120	-10.52	0.52113	-10.49	0	61.92
bench.php	10	50	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.21532	0.22027	0.00093	0.21663	0.00	0.21646	0.00	0	26.13
bench.php	10	50	0	PHP - previous master	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	0.21517	0.21827	0.00068	0.21629	-0.16	0.21618	-0.13	0	26.07
bench.php	10	50	0	PHP - master	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.21135	0.21708	0.00133	0.21298	-1.68	0.21251	-1.83	0	26.07
bench.php	10	50	0	PHP - master (JIT)	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.07392	0.07696	0.00072	0.07515	-65.31	0.07499	-65.36	0	27.25
micro_bench.php	10	50	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	1.34206	1.36483	0.00509	1.35303	0.00	1.35392	0.00	0	20.39
